BA,Center,City,Geo
I003,Palm Bay,Palm Bay,US
I001,Palm Bay - Commerce Park,Palm Bay,US
I009,Palm Bay - Extn.,Palm Bay,US
U023,"Harrison Ave, Suite -109 Rockford, IL",Rockford,US
I007,"30 Cold Spring Rd, Rocky Hill",Rocky Hill,US
U020,Salt lake city,Salt lake city,US
U054,"Thousand Oaks, California (CO)",Thousand Oaks,US
U004,Common Business Area,US,US
U051,"1209, Orange St, Wilmington",Wilmington,US
U056,"2043 Springwood Rd, York",York,US
BA83,"GR TechPark, 4th flr, Bangalore",Bangalore,India
BA98,"BSR IT SEZ, Hyderabad",Hyderabad,India
U063,"Long Beach, CA (Molina)       ",Long Beach,US
U024,Birmingham,Birmingham,UK
L001,Srilanka,Srilanka,Srilanka
B114,Lincoln Building - Belfast,Belfast,UK
BA77,Olive Tree House ,Belfast,UK
B104,Somerset House Birmingham     ,Birmingham,UK
B118,"Tricorn House, Birmingham",Birmingham,UK
B105,"Victoria Square, Birmingham",Birmingham,UK
BA87,Orbis 1 - Derby,Derby,UK
BA73,Pride Park,Derby,UK
B138,"Duncreggan road, Derry",Derry,UK
BA16,"Springtown Business Park, Londonderry",Derry,UK
BA93,"Banking, Fin Servi & Insurance",Europe,UK
B135,Lynton House – London         ,London,UK
BA04-UK,Space One - London (Corporate office),London,UK
B108,"Arkwright House, Manchester",Manchester,UK
B123,"Wework, Spectrum Towers",Mumbai,India
BA12,Savitha Plaza,Pondicherry,India
BA40,Raja Trade Center - Trichy,Trichy,India
B100,"Medha IT Tower, Vijayawada",Vijayawada,India
C002,"Gr,34_35th flr, Cuauhtémoc MXN",Mexico,Mexico
C001,"Reforma Latino, Mexico",Mexico,Mexico
BA54,Skyrise – 1,Cebu,Philippines
B117,Skyrise – 2,Cebu,Philippines
B106,"Century Diamond Tower, Makati",Manila,Philippines
B147,"G Flr,Science Hub T2",McKinley,Philippines
B142,McKinley,McKinley,Philippines
B112,McKinley - Science Hub,McKinley,Philippines
B133,McKinley - Science Hub 1,McKinley,Philippines
S001,South Africa,South Africa,South Africa
U043,"2975 Chad Drive, Eugene",Eugene,US
I005,Chad Drive Eugene ,Eugene,US
U055,"Sawgrass corp Parkway, Florida",Florida,US
U030,"Gahanna, OH",Gahanna,US
U021,Grant Avenu,Kingston,US
U005,"W.St. Rd, LaPorte, IN",LaPorte,US
U048,"Atrium Center, 1st flr, Louisv",Louisville,US
U046,"Atrium Center, 3rd flr, Louisv",Louisville,US
U032,"Louisville, KY",Louisville,US
U027,"Bluilding B Miami, FL",Miami,US
U061,New Jersey Corporate office,New Jersey,US
I008,"Perimeter Park, North Carolina",North Carolina,US
U059," Commerce Park, Palm Bay",Palm Bay,US
I012,Innovation - Palm Bay,Palm Bay,US
B107,Manchester - Piccadilly,Manchester,UK
BA89,Centre Square,Middlesbrough,UK
B103,2 Llys Cadwyn - Pontypridd,Pontypridd,UK
BA69,Cinnamon Park,Warrington,UK
U035,"Bryant Woods South Amherst, NY",Amherst,US
I016,Stonehill,Atlanta,US
U002,Magna Drive,Belleville,US
U050,"Premier Drive, Chattanooga TN",Chattanooga,US
U058,"Chico, CA",Chico,US
U001,Mark Dabling Building,Colorado Springs,US
I014,"3100 Olympus Blvd., Dallas",Dallas,US
U053,"Boulevard, Dallas, TX",Dallas,US
U060,"Dayton, OH",Dayton,US
U010,"Durham, NC",Durham,US
